Fighter,Elo
Roosevelt Roberts,1030.27773453
Nazareno Malegarie,971.47072
Nicolae Negumereanu,982.16803822
Zach Light,970.92928
Rich Clementi,1007.76094424
Derrick Lewis,1103.72085187
Vaughan Lee,971.417703061
Shunichi Shimizu,983.597131757
Matt Van Buren,955.17570798
Ricardo Funch,940.629738257
Darren Stewart,988.393137016
Rob Kimmons,980.097838932
John Salter,971.169546043
James Moontasri,961.730953207
Sean O'Connell,956.877379046
Ross Pointon,954.377806802
Alex Hunter,1034.90909091
Marcus Jones,971.6512
Khalid Taha,1012.39307023
Colton Smith,981.388347775
Chris Sanford,972.1024
Stevie Lynch,984.004115002
Jeff Curran,954.257934257
Chad Mendes,1065.87845404
Lando Vannata,990.315256365
Karlos Vemola,967.702532784
Jesse Bongfeldt,984.675244049
Sione Latu,1032
Ben Askren,1020.13222358
Jared Rosholt,1063.92579862
Scott Smith,966.544624661
Allan Goes,985.078416044
Mark Bocek,1048.90694361
Matthew Riddle,1057.21305019
John Howard,995.502618448
Tito Ortiz,1048.13847893
Michelle Waterson,1051.56278538
Joe Slick,999.69478514
Gary Goodridge,996.027473889
Harry Moskowitz,997.090909091
Joel Alvarez,1000.45795846
Phil Harris,969.595068656
Marcos Mariano,983.581568873
Paul Buentello,1003.39416381
Roberto Traven,972.19264
Leslie Smith,1019.13111062
Travis Wiuff,967.98959704
Moti Horenstein,971.532047534
Davey Grant,959.498446046
Kevin Lee,1071.54408777
Ken Shamrock,1027.11324465
Phil Johns,984.693969704
Nordine Taleb,1055.68303929
Islam Makhachev,1091.03307249
Jonathan Martinez,998.856015853
Josh Thomson,1006.08898285
Colby Covington,1127.81909137
Cortney Casey,973.760565123
Cindy Dandois,985.424286335
Josh Rafferty,970.92928
Rafael Natal,1025.29366879
Jake Shields,1029.74875655
Johnny Eduardo,986.253668031
Yair Rodriguez,1099.3772711
Nadia Kassem,997.762477916
Matt Serra,1017.79844448
Frank Shamrock,1077.18836695
Aisling Daly,1024.78298154
Oliver Enkamp,969.764226232
Rashad Coulter,971.459786667
Efrain Escudero,978.921790948
Alberto Crane,972.040903414
