date,weight_class,R_fighter,B_fighter,Winner,B_age,R_age
11/12/93,Catch Weight,Royce Gracie,Gerard Gordeau,Red,34,26
11/12/93,Open Weight,Jason DeLucia,Trent Jenkins,Red,,24
11/12/93,Open Weight,Royce Gracie,Ken Shamrock,Red,29,26
11/12/93,Open Weight,Gerard Gordeau,Kevin Rosier,Red,,34
11/12/93,Open Weight,Ken Shamrock,Patrick Smith,Red,30,29
11/12/93,Open Weight,Royce Gracie,Art Jimmerson,Red,30,26
11/12/93,Open Weight,Kevin Rosier,Zane Frazier,Red,,
11/12/93,Open Weight,Gerard Gordeau,Teila Tuli,Red,24,34
3/11/94,Catch Weight,Royce Gracie,Patrick Smith,Red,30,27
3/11/94,Open Weight,Royce Gracie,Remco Pardoel,Red,,27
3/11/94,Open Weight,Patrick Smith,Johnny Rhodes,Red,,30
3/11/94,Open Weight,Royce Gracie,Jason DeLucia,Red,24,27
3/11/94,Open Weight,Remco Pardoel,Orlando Wiet,Red,,
3/11/94,Open Weight,Johnny Rhodes,Fred Ettish,Red,,
3/11/94,Open Weight,Patrick Smith,Scott Morris,Red,,30
3/11/94,Open Weight,Royce Gracie,Minoki Ichihara,Red,,27
3/11/94,Open Weight,Jason DeLucia,Scott Baker,Red,,24
3/11/94,Open Weight,Remco Pardoel,Alberta Cerra Leon,Red,,
3/11/94,Open Weight,Orlando Wiet,Robert Lucarelli,Red,,
3/11/94,Open Weight,Frank Hamaker,Thaddeus Luster,Red,,
3/11/94,Open Weight,Johnny Rhodes,David Levicki,Red,,
3/11/94,Open Weight,Patrick Smith,Ray Wizard,Red,,30
3/11/94,Open Weight,Scott Morris,Sean Daugherty,Red,18,
9/9/94,Catch Weight,Steve Jennum,Harold Howard,Red,,
9/9/94,Open Weight,Ken Shamrock,Felix Lee Mitchell,Red,,30
9/9/94,Open Weight,Royce Gracie,Kimo Leopoldo,Red,26,27
9/9/94,Open Weight,Harold Howard,Roland Payne,Red,,
9/9/94,Open Weight,Ken Shamrock,Christophe Leninger,Red,,30
9/9/94,Open Weight,Keith Hackney,Emmanuel Yarborough,Red,34,
12/16/94,Catch Weight,Royce Gracie,Dan Severn,Red,36,28
12/16/94,Open Weight,Dan Severn,Marcus Bossett,Red,,36
12/16/94,Open Weight,Royce Gracie,Keith Hackney,Red,,28
12/16/94,Open Weight,Dan Severn,Anthony Macias,Red,,36
12/16/94,Open Weight,Steve Jennum,Melton Bowen,Red,25,
12/16/94,Open Weight,Keith Hackney,Joe Son,Red,24,
12/16/94,Open Weight,Royce Gracie,Ron van Clief,Red,51,28
12/16/94,Open Weight,Guy Mezger,Jason Fairn,Red,,26
4/7/95,Catch Weight,Dan Severn,Dave Beneteau,Red,,36
4/7/95,Catch Weight,Ken Shamrock,Royce Gracie,Draw,28,31
4/7/95,Open Weight,Dan Severn,Oleg Taktarov,Red,27,36
4/7/95,Open Weight,Dave Beneteau,Todd Medina,Red,,
4/7/95,Open Weight,Dan Severn,Joe Charles,Red,,36
4/7/95,Open Weight,Oleg Taktarov,Ernie Verdicia,Red,,27
4/7/95,Open Weight,Todd Medina,Larry Cureton,Red,,
4/7/95,Open Weight,Jon Hess,Andy Anderson,Red,20,
4/7/95,Open Weight,Dave Beneteau,Asbel Cancio,Red,,
7/14/95,Catch Weight,Oleg Taktarov,David Abbott,Red,,27
7/14/95,Catch Weight,Ken Shamrock,Dan Severn,Red,37,31
7/14/95,Open Weight,Oleg Taktarov,Anthony Macias,Red,,27
7/14/95,Open Weight,David Abbott,Paul Varelans,Red,,
7/14/95,Open Weight,Oleg Taktarov,Dave Beneteau,Red,,27
7/14/95,Open Weight,Patrick Smith,Rudyard Moncayo,Red,,31
7/14/95,Open Weight,Paul Varelans,Cal Worsham,Red,,
7/14/95,Open Weight,David Abbott,John Matua,Red,,
9/8/95,Catch Weight,Marco Ruas,Paul Varelans,Red,,34
9/8/95,Catch Weight,Ken Shamrock,Oleg Taktarov,Draw,28,31
9/8/95,Open Weight,Marco Ruas,Remco Pardoel,Red,,34
9/8/95,Open Weight,Paul Varelans,Mark Hall,Red,,
9/8/95,Open Weight,Marco Ruas,Larry Cureton,Red,,34
9/8/95,Open Weight,Remco Pardoel,Ryan Parker,Red,,
9/8/95,Open Weight,Mark Hall,Harold Howard,Red,,
9/8/95,Open Weight,Paul Varelans,Gerry Harris,Red,,
9/8/95,Open Weight,Scott Bessac,David Hood,Red,,
12/16/95,Catch Weight,Dan Severn,Oleg Taktarov,Red,28,37
12/16/95,Open Weight,Oleg Taktarov,Marco Ruas,Red,34,28
12/16/95,Open Weight,Dan Severn,David Abbott,Red,,37
12/16/95,Open Weight,Oleg Taktarov,Dave Beneteau,Red,,28
12/16/95,Open Weight,Marco Ruas,Keith Hackney,Red,,34
12/16/95,Open Weight,Dan Severn,Paul Varelans,Red,,37
